wavelength_um,n_parallel,k_parallel,n_perp,k_perp,n_iso,k_iso
1.473900,3.882192,0.095830,3.880248,0.096627,3.881544,0.096095
1.527700,3.877124,0.088710,3.875331,0.089198,3.876526,0.088873
1.585700,3.873139,0.081705,3.871525,0.081910,3.872601,0.081773
1.648200,3.870236,0.074003,3.868828,0.073926,3.869767,0.073978
1.715800,3.868374,0.058526,3.867248,0.057948,3.867999,0.058334
1.789200,3.845952,0.051203,3.844360,0.050215,3.845422,0.050874
1.869200,3.834384,0.050101,3.832627,0.049004,3.833799,0.049735
1.956600,3.824941,0.049056,3.823079,0.047855,3.824320,0.048656
2.052700,3.816790,0.048091,3.814854,0.046782,3.816144,0.047655
2.158600,3.809446,0.047219,3.807447,0.045793,3.808779,0.046744
2.276100,3.802908,0.046454,3.800859,0.044900,3.802225,0.045936
2.407100,3.797100,0.045811,3.795003,0.044114,3.796401,0.045245
2.554100,3.791883,0.045305,3.789734,0.043443,3.791167,0.044684
2.720300,3.787287,0.044952,3.785081,0.042900,3.786552,0.044269
2.909500,3.783406,0.044770,3.781126,0.042495,3.782646,0.044012
3.127100,3.780230,0.044773,3.777852,0.042231,3.779437,0.043926
3.379800,3.777916,0.044966,3.775394,0.042102,3.777075,0.044012
3.677000,3.776589,0.045332,3.773856,0.042078,3.775678,0.044248
4.031500,3.776525,0.045799,3.773452,0.042065,3.775500,0.044555
4.461600,3.778306,0.046158,3.774676,0.041848,3.777096,0.044722
4.994500,3.782469,0.045832,3.777854,0.040881,3.780930,0.044183
5.671900,3.790524,0.043095,3.784071,0.037688,3.788374,0.041295
6.561900,3.804901,0.030320,3.794768,0.026285,3.801526,0.028978
7.783200,3.788413,0.008860,3.780736,0.008882,3.785856,0.008867
9.563100,3.781008,0.007218,3.774350,0.007232,3.778790,0.007222
12.398000,3.777051,0.005568,3.770845,0.005578,3.774983,0.005572
